
1567302806,uitlQ,Stop,,
1567307944,ipChH,Start,27,Wkl8H3Dn
1567308000,ipChH,Stop,,
1567314416,sXTAv,Start,41,YJYhqnM4
1567323043,sXTAv,Stop,,
1567325996,HGOjV,Start,24,NtXHlIsR
1567328028,HGOjV,Stop,,
1567331155,Kjg9v,Start,62,GFi2G5aM
1567338299,Kjg9v,Stop,,
1567346503,mhKSi,Start,67,ylfR01CW
1567349281,mhKSi,Stop,,
1567349406,GlJii,Start,1,t8k6MZ5l
1567470161,GlJii,Stop,,
1567378289,XJt03,Start,23,YL0AlSz5
1567404867,XJt03,Stop,,
1567410083,4BcoT,Start,10,iUJal88H
1567434814,4BcoT,Stop,,
1567439995,sIdX2,Start,35,jPRkJKgT
1567451067,sIdX2,Stop,,
